BioProject,Run,EV_type,Source,disease,Disease_stage/treatment,Release_date,URL,EV isolated method,Project_Title,Project_Description
PRJNA820443,SRR18495906,sEV,Blood|Serum,Diabetes mellitus,Gestational diabetes mellitus (GDM),2023-11-23,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA820443/,-,GDM offspring umbilical blood serum exosomes sequencing,GDM serum exosomes sequencing
PRJNA820443,SRR18495907,sEV,Blood|Serum,Diabetes mellitus,Gestational diabetes mellitus (GDM),2023-11-23,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA820443/,-,GDM offspring umbilical blood serum exosomes sequencing,GDM serum exosomes sequencing
PRJNA820443,SRR18495908,sEV,Blood|Serum,Diabetes mellitus,Gestational diabetes mellitus (GDM),2023-11-23,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA820443/,-,GDM offspring umbilical blood serum exosomes sequencing,GDM serum exosomes sequencing
PRJNA820443,SRR18495909,sEV,Blood|Serum,Diabetes mellitus,Gestational diabetes mellitus (GDM),2023-11-23,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA820443/,-,GDM offspring umbilical blood serum exosomes sequencing,GDM serum exosomes sequencing
PRJNA820443,SRR18495910,sEV,Blood|Serum,Diabetes mellitus,Gestational diabetes mellitus (GDM),2023-11-23,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA820443/,-,GDM offspring umbilical blood serum exosomes sequencing,GDM serum exosomes sequencing
PRJNA820443,SRR18495911,sEV,Blood|Serum,Diabetes mellitus,Gestational diabetes mellitus (GDM),2023-11-23,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA820443/,-,GDM offspring umbilical blood serum exosomes sequencing,GDM serum exosomes sequencing
PRJNA820443,SRR18495912,sEV,Blood|Serum,Diabetes mellitus,Gestational diabetes mellitus (GDM),2023-11-23,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA820443/,-,GDM offspring umbilical blood serum exosomes sequencing,GDM serum exosomes sequencing
PRJNA820443,SRR18495913,sEV,Blood|Serum,Diabetes mellitus,Gestational diabetes mellitus (GDM),2023-11-23,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA820443/,-,GDM offspring umbilical blood serum exosomes sequencing,GDM serum exosomes sequencing
PRJNA820443,SRR18495914,sEV,Blood|Serum,Diabetes mellitus,Gestational diabetes mellitus (GDM),2023-11-23,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA820443/,-,GDM offspring umbilical blood serum exosomes sequencing,GDM serum exosomes sequencing
PRJNA820443,SRR18495915,sEV,Blood|Serum,Diabetes mellitus,Gestational diabetes mellitus (GDM),2023-11-23,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA820443/,-,GDM offspring umbilical blood serum exosomes sequencing,GDM serum exosomes sequencing
