miRNA,SRR16760614,SRR16760616,SRR16760617,SRR16760618,SRR16760620,SRR16760621,SRR16760622,SRR16760623,SRR16760624,SRR16760625,SRR16760626,SRR16760627,SRR16760628,SRR16760629,SRR16760630,SRR16760631,SRR16760633,SRR16760634,SRR16760635,SRR16760636,SRR16760637,SRR16760641,SRR16760644,SRR16760645,SRR16760647,SRR16760648,SRR16760649,SRR16760650,SRR16760654,SRR16760655,SRR16760656,SRR16760661,SRR16760662,SRR16760663,SRR16760664,SRR16760665,SRR16760666,SRR16760668,SRR16760669,SRR16760670,SRR16760671,SRR16760673,SRR16760674,SRR16760675,SRR16760676,SRR16760677,SRR16760678,SRR16760679,SRR16760681,SRR16760682,SRR16760683,SRR16760686,SRR16760689,SRR16760690,SRR16760691,SRR16760615,SRR16760619,SRR16760632,SRR16760638,SRR16760639,SRR16760642,SRR16760643,SRR16760646,SRR16760651,SRR16760652,SRR16760653,SRR16760657,SRR16760658,SRR16760659,SRR16760660,SRR16760667,SRR16760672,SRR16760680,SRR16760684,SRR16760687,SRR16760688
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,10.0,140.0,44.0,158.0,23.0,11.0,21.0,17.0,2.0,20.0,35.0,9.0,13.0,38.0,142.0,2.0,0.0,42.0,11.0,32.0,6.0,6.0,12.0,83.0,0.0,1.0,3.0,5.0,50.0,222.0,0.0,0.0,0.0,9.0,0.0,14.0,8.0,6.0,3.0,45.0,0.0,7.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,3.0,6.0,27.0,0.0,5.0,5.0,8.0,7.0,2.0,80.0,12.0,18.0,3.0,19.0,0.0,41.0,8.0,5.0,2.0,0.0,21.0,1.0
hsa-let-7a-5p,1342.0,20910.0,20634.0,50744.0,5333.0,498.0,1863.0,1976.0,1677.0,3082.0,2330.0,1902.0,3372.0,3931.0,14529.0,1782.0,604.0,6922.0,3765.0,12751.0,3766.0,1344.0,1294.0,50521.0,130.0,436.0,1026.0,645.0,19432.0,17412.0,90.0,173.0,73.0,3198.0,18.0,3915.0,1658.0,154.0,1325.0,3758.0,2.0,786.0,1243.0,118.0,21.0,87.0,208.0,279.0,12.0,284.0,741.0,138.0,88.0,44.0,720.0,6130.0,1184.0,857.0,4877.0,2243.0,855.0,7867.0,154.0,11114.0,9802.0,7062.0,586.0,4416.0,220.0,8694.0,908.0,308.0,285.0,198.0,1787.0,169.0
hsa-let-7b-3p,16.0,94.0,70.0,28.0,12.0,5.0,9.0,12.0,5.0,12.0,9.0,6.0,10.0,19.0,11.0,7.0,0.0,14.0,43.0,11.0,3.0,6.0,4.0,90.0,3.0,4.0,6.0,5.0,46.0,36.0,0.0,0.0,0.0,9.0,0.0,1.0,4.0,0.0,3.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,14.0,8.0,2.0,19.0,1.0,34.0,24.0,12.0,3.0,10.0,1.0,14.0,3.0,1.0,0.0,0.0,3.0,2.0
hsa-let-7b-5p,25594.0,36590.0,30538.0,22070.0,6559.0,665.0,2380.0,2631.0,3726.0,2079.0,2233.0,1628.0,3477.0,4587.0,3009.0,6155.0,3233.0,25378.0,7459.0,9415.0,2248.0,1683.0,4436.0,163464.0,137.0,458.0,2281.0,212.0,18656.0,4558.0,153.0,271.0,75.0,3846.0,34.0,1963.0,634.0,134.0,880.0,760.0,2.0,1965.0,2240.0,95.0,80.0,157.0,336.0,338.0,129.0,590.0,860.0,466.0,627.0,326.0,1513.0,34542.0,1181.0,5655.0,3120.0,2637.0,4965.0,18799.0,198.0,17128.0,12024.0,10166.0,930.0,5961.0,340.0,5602.0,923.0,896.0,534.0,674.0,8458.0,587.0
hsa-let-7c-3p,0.0,0.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,43.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-let-7c-5p,600.0,1490.0,1254.0,4436.0,397.0,111.0,872.0,719.0,275.0,879.0,291.0,305.0,321.0,280.0,4862.0,695.0,283.0,431.0,3233.0,34618.0,7166.0,527.0,770.0,15502.0,63.0,46.0,87.0,88.0,892.0,1430.0,16.0,114.0,38.0,1453.0,14.0,1217.0,919.0,52.0,832.0,750.0,0.0,101.0,307.0,106.0,21.0,92.0,66.0,39.0,8.0,57.0,86.0,18.0,19.0,5.0,81.0,1696.0,134.0,491.0,7228.0,2625.0,59.0,862.0,54.0,500.0,1044.0,2142.0,329.0,745.0,13.0,17553.0,902.0,68.0,72.0,23.0,46.0,18.0
hsa-let-7d-3p,1498.0,2194.0,2306.0,2412.0,396.0,35.0,167.0,228.0,436.0,526.0,143.0,101.0,255.0,228.0,674.0,308.0,101.0,1034.0,985.0,339.0,165.0,211.0,599.0,278.0,27.0,40.0,147.0,131.0,1536.0,3328.0,5.0,19.0,8.0,166.0,1.0,269.0,78.0,19.0,123.0,411.0,0.0,89.0,143.0,5.0,2.0,23.0,27.0,66.0,1.0,63.0,87.0,10.0,8.0,6.0,69.0,1656.0,49.0,318.0,201.0,156.0,203.0,1015.0,28.0,558.0,688.0,634.0,57.0,487.0,22.0,704.0,103.0,37.0,22.0,36.0,339.0,35.0
hsa-let-7d-5p,112.0,4732.0,2748.0,4602.0,736.0,104.0,479.0,393.0,323.0,477.0,513.0,333.0,481.0,568.0,2125.0,338.0,32.0,1469.0,354.0,1981.0,623.0,274.0,253.0,1292.0,37.0,58.0,132.0,97.0,2376.0,2304.0,12.0,24.0,11.0,403.0,1.0,474.0,646.0,25.0,380.0,637.0,0.0,169.0,174.0,31.0,3.0,29.0,50.0,56.0,0.0,43.0,80.0,13.0,2.0,7.0,97.0,256.0,171.0,18.0,750.0,509.0,96.0,470.0,26.0,1924.0,652.0,1062.0,166.0,887.0,44.0,2544.0,350.0,70.0,53.0,33.0,290.0,29.0
hsa-let-7e-3p,0.0,6.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,6.0,12.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,88.0,238.0,144.0,702.0,55.0,6.0,48.0,41.0,19.0,103.0,37.0,27.0,49.0,46.0,82.0,29.0,23.0,40.0,221.0,2837.0,391.0,17.0,32.0,2675.0,2.0,11.0,8.0,22.0,126.0,198.0,1.0,3.0,0.0,65.0,0.0,97.0,155.0,5.0,82.0,89.0,0.0,5.0,22.0,3.0,1.0,6.0,7.0,5.0,1.0,2.0,8.0,4.0,1.0,2.0,11.0,172.0,11.0,36.0,413.0,110.0,10.0,71.0,3.0,66.0,102.0,84.0,6.0,52.0,1.0,961.0,82.0,4.0,9.0,1.0,16.0,3.0
hsa-let-7f-1-3p,0.0,14.0,2.0,10.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,27.0,1.0,0.0,2.0,1.0,5.0,1.0,0.0,3.0,31.0,0.0,0.0,1.0,1.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,4.0,0.0,1.0,0.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0
hsa-let-7f-2-3p,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,7.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,1022.0,15014.0,12036.0,19052.0,6759.0,888.0,3413.0,2552.0,748.0,2188.0,9144.0,4440.0,5169.0,7596.0,14119.0,1215.0,599.0,3968.0,2102.0,38453.0,7059.0,1266.0,752.0,50088.0,226.0,858.0,1059.0,766.0,15522.0,7022.0,86.0,247.0,65.0,3486.0,13.0,3034.0,7568.0,549.0,2858.0,5737.0,0.0,744.0,1187.0,316.0,19.0,149.0,337.0,258.0,9.0,127.0,462.0,120.0,65.0,14.0,336.0,3952.0,2857.0,637.0,7068.0,2925.0,557.0,4450.0,455.0,14724.0,7740.0,8556.0,624.0,3389.0,155.0,23785.0,3853.0,396.0,252.0,122.0,1216.0,108.0
hsa-let-7g-3p,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,1684.0,28782.0,23496.0,35156.0,12673.0,1311.0,7255.0,3643.0,1909.0,5283.0,13005.0,6330.0,7759.0,13615.0,49802.0,1778.0,274.0,11730.0,2916.0,31352.0,6130.0,1628.0,1382.0,23399.0,397.0,1479.0,2644.0,848.0,23972.0,20316.0,178.0,351.0,124.0,5282.0,25.0,3343.0,4301.0,723.0,2177.0,9244.0,2.0,1337.0,816.0,290.0,38.0,235.0,524.0,282.0,1.0,244.0,372.0,114.0,76.0,30.0,385.0,2612.0,4219.0,275.0,6672.0,4586.0,770.0,3463.0,692.0,37922.0,9380.0,12776.0,1157.0,6072.0,258.0,22558.0,4147.0,629.0,482.0,223.0,2441.0,92.0
hsa-let-7i-3p,4.0,22.0,6.0,22.0,6.0,0.0,4.0,1.0,3.0,13.0,6.0,2.0,2.0,4.0,27.0,0.0,0.0,8.0,0.0,12.0,0.0,1.0,2.0,16.0,0.0,1.0,0.0,0.0,10.0,30.0,1.0,0.0,0.0,3.0,1.0,3.0,5.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,2.0,6.0,0.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7i-5p,5452.0,42940.0,29110.0,70854.0,25825.0,2682.0,9589.0,5573.0,3066.0,11543.0,29627.0,12082.0,13374.0,22120.0,69936.0,3274.0,993.0,16508.0,13012.0,54398.0,12035.0,2734.0,3257.0,188639.0,721.0,3225.0,6815.0,3437.0,33076.0,34050.0,322.0,608.0,181.0,8638.0,104.0,15459.0,12641.0,2424.0,5927.0,16252.0,9.0,2211.0,2454.0,409.0,88.0,396.0,1206.0,1316.0,30.0,538.0,1262.0,543.0,210.0,88.0,1108.0,12288.0,7448.0,1229.0,12179.0,7588.0,2784.0,10308.0,1513.0,46334.0,15042.0,26480.0,1556.0,8915.0,574.0,64190.0,7820.0,1467.0,877.0,396.0,4341.0,195.0
hsa-miR-1-3p,38.0,46.0,110.0,630.0,82.0,8.0,30.0,29.0,6.0,111.0,215.0,57.0,75.0,176.0,876.0,8.0,2.0,30.0,107.0,226.0,559.0,4.0,10.0,1607.0,11.0,39.0,12.0,36.0,98.0,582.0,1.0,0.0,0.0,43.0,9.0,963.0,44.0,121.0,29.0,284.0,0.0,35.0,16.0,141.0,3.0,25.0,15.0,3.0,0.0,3.0,5.0,1.0,0.0,0.0,3.0,208.0,84.0,33.0,32.0,23.0,1.0,48.0,24.0,76.0,52.0,128.0,6.0,97.0,2.0,223.0,47.0,17.0,14.0,0.0,4.0,3.0
hsa-miR-100-5p,232.0,6044.0,4528.0,5318.0,783.0,61.0,266.0,684.0,251.0,864.0,681.0,662.0,2258.0,2542.0,1261.0,539.0,139.0,1191.0,1702.0,23652.0,3600.0,149.0,406.0,107759.0,69.0,219.0,259.0,254.0,3312.0,4382.0,11.0,60.0,18.0,1711.0,10.0,1876.0,255.0,238.0,292.0,930.0,0.0,48.0,58.0,43.0,0.0,33.0,23.0,60.0,2.0,10.0,23.0,15.0,0.0,0.0,52.0,758.0,253.0,162.0,3668.0,1244.0,68.0,1333.0,118.0,1032.0,1400.0,3450.0,138.0,1001.0,20.0,5751.0,398.0,32.0,28.0,3.0,69.0,2.0
hsa-miR-101-2-5p,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,1396.0,7626.0,5204.0,12416.0,5155.0,521.0,1593.0,694.0,147.0,751.0,4669.0,2082.0,1509.0,4955.0,34099.0,603.0,274.0,6593.0,735.0,7666.0,1081.0,725.0,999.0,35141.0,143.0,701.0,1071.0,537.0,7674.0,17080.0,45.0,57.0,41.0,1974.0,23.0,4715.0,790.0,610.0,599.0,7348.0,1.0,321.0,237.0,93.0,2.0,50.0,165.0,84.0,2.0,50.0,87.0,30.0,23.0,3.0,116.0,1600.0,1539.0,273.0,1230.0,1101.0,1402.0,4057.0,238.0,16540.0,3614.0,5478.0,193.0,636.0,190.0,3876.0,1212.0,285.0,90.0,38.0,797.0,49.0
hsa-miR-101-5p,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-10395-3p,0.0,2.0,0.0,8.0,124.0,7.0,22.0,21.0,11.0,21.0,53.0,45.0,29.0,25.0,10.0,0.0,0.0,3.0,2.0,160.0,25.0,0.0,4.0,9.0,26.0,41.0,14.0,13.0,18.0,22.0,2.0,2.0,0.0,20.0,0.0,6.0,70.0,49.0,55.0,60.0,0.0,2.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,62.0,0.0,39.0,12.0,0.0,7.0,27.0,48.0,44.0,10.0,1.0,7.0,0.0,52.0,56.0,3.0,1.0,0.0,0.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,18.0,36.0,22.0,30.0,19.0,0.0,6.0,1.0,9.0,12.0,7.0,1.0,14.0,11.0,24.0,4.0,4.0,18.0,18.0,4.0,3.0,1.0,10.0,58.0,2.0,2.0,5.0,2.0,10.0,26.0,0.0,0.0,0.0,5.0,0.0,13.0,1.0,1.0,2.0,14.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,22.0,3.0,4.0,4.0,9.0,0.0,16.0,1.0,16.0,12.0,12.0,2.0,9.0,0.0,13.0,2.0,1.0,1.0,0.0,4.0,0.0
hsa-miR-10399-5p,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,64.0,640.0,380.0,3750.0,647.0,26.0,429.0,78.0,117.0,189.0,735.0,454.0,403.0,653.0,3952.0,109.0,2.0,299.0,95.0,5504.0,638.0,73.0,243.0,2682.0,4.0,3.0,157.0,347.0,1552.0,2586.0,15.0,28.0,2.0,2.0,4.0,288.0,24.0,5.0,112.0,70.0,1.0,15.0,48.0,22.0,0.0,22.0,15.0,2.0,0.0,9.0,33.0,7.0,0.0,0.0,20.0,48.0,491.0,3.0,876.0,448.0,105.0,211.0,172.0,2770.0,194.0,424.0,60.0,734.0,45.0,2803.0,8.0,69.0,19.0,1.0,161.0,12.0
hsa-miR-10400-5p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,2.0,10.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10524-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
